DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"348, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh","2,15 tỷ",Vạn Đô,53 m²,Đã bàn giao,"40,57 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"36, Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,399 tỷ",Lotus Garden,53 m²,Đã bàn giao,"45,26 triệu/m²",1 phòng,,6,,Nội thất đầy đủ,,,Căn góc
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,52 tỷ",Celadon City,71 m²,Đã bàn giao,"49,58 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","2,25 tỷ",Green River - Quận 8,69 m²,Đã bàn giao,"32,61 triệu/m²",2 phòng,2 phòng,,,,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,99 tỷ",Ricca,65 m²,Đã bàn giao,"30,62 triệu/m²",2 phòng,2 phòng,,,,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,19 tỷ",The Sun Avenue,76 m²,Đã bàn giao,"55,13 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","8,4 tỷ",Celadon City,95.9 m²,Chưa bàn giao,"87,59 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,,Căn góc
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,59 tỷ",Dream Home Riverside,62 m²,Chưa bàn giao,"25,65 triệu/m²",2 phòng,2 phòng,,,,,,
"Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","5,4 tỷ",Đất Phương Nam,131 m²,Đã bàn giao,"41,22 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,,
"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","3,1 tỷ",Q7 Boulevard,70 m²,Đã bàn giao,"44,29 triệu/m²",2 phòng,2 phòng,19,Đang chờ sổ,Hoàn thiện cơ bản,Bắc,Nam,
"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","1,9 tỷ",Osimi Tower,53 m²,Đã bàn giao,"35,85 triệu/m²",2 phòng,,,,,,,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,4 tỷ",Celadon City,71 m²,Đã bàn giao,"47,89 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"D1, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","1,55 tỷ",Wilton Tower,1 m²,Đã bàn giao,"1,55 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","1,35 tỷ",Khang Gia Tân Hương (Lucky Apartment),62 m²,Chưa bàn giao,"21,77 triệu/m²",2 phòng,1 phòng,14,Đang chờ sổ,Nội thất đầy đủ,,,
"Tân Thuận Đông, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","2,7 tỷ",Căn hộ An Viên,76.5 m²,Đã bàn giao,"35,29 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","3,42 tỷ",Akari City,75.13 m²,Đã bàn giao,"45,52 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,,,,
"Số 584, Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","7,8 tỷ",The View Riviera Point,150 m²,Đã bàn giao,52 triệu/m²,3 phòng,2 phòng,32,Đang chờ sổ,Nội thất đầy đủ,Tây Nam,Đông Bắc,Căn góc
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","7,3 tỷ",Sunrise City,162 m²,Đã bàn giao,"45,06 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,Căn góc
"Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2 tỷ,9 View Apartment,58 m²,Đã bàn giao,"34,48 triệu/m²",2 phòng,2 phòng,,,,,,
"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,63 tỷ",Chung cư Lê Thành,71.8 m²,Đã bàn giao,"22,7 triệu/m²",2 phòng,2 phòng,8,Đã có sổ,,,,
"315, Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh","3,1 tỷ",Căn hộ Thuận Việt,77 m²,Đã bàn giao,"40,26 triệu/m²",2 phòng,1 phòng,9,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,
"Khu đô thị Cityland Park Hills - Số 18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","3,9 tỷ",Căn hộ Cityland Parkhill Gò Vấp,65.5 m²,Đã bàn giao,"59,54 triệu/m²",2 phòng,2 phòng,2,Đã có sổ,Nội thất đầy đủ,,,
"Số 7, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","1,5 tỷ",Full House,56 m²,Đã bàn giao,"26,79 triệu/m²",1 phòng,1 phòng,,,,,,
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","1,35 tỷ",Saigon Homes Bình Tân,53 m²,Chưa bàn giao,"25,47 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,45 tỷ",Topaz Elite,68 m²,Đã bàn giao,"36,03 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,Căn góc
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,79 tỷ",Saigon Gateway,57 m²,Đã bàn giao,"31,4 triệu/m²",2 phòng,1 phòng,,,,,,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,4000024 tỷ",Topaz Elite,70 m²,Đã bàn giao,"34,29 triệu/m²",2 phòng,2 phòng,,,,,,
"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,4 tỷ",Opal Riverside,71 m²,Đã bàn giao,"47,89 triệu/m²",2 phòng,2 phòng,17,,,Tây Nam,Đông Bắc,
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","1,5 tỷ",Saigon Homes Bình Tân,58 m²,Chưa bàn giao,"25,86 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,75 tỷ",Orchid Park,72 m²,Đã bàn giao,"24,31 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"DC13, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,85 tỷ",TaniBuilding Sơn Kỳ 1,71 m²,Đã bàn giao,"26,06 triệu/m²",2 phòng,,,Đã có sổ,,,,
"996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,15 tỷ",The Pegasuite 2,52 m²,Chưa bàn giao,"22,12 triệu/m²",2 phòng,,,,,,,
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,45 tỷ",The Pegasuite,78 m²,Đã bàn giao,"18,59 triệu/m²",2 phòng,2 phòng,9,Đã có sổ,Nội thất đầy đủ,,,
"89, Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",6 tỷ,Sky 89 An Gia,114 m²,Đã bàn giao,"52,63 triệu/m²",3 phòng,2 phòng,24,,Hoàn thiện cơ bản,,,
"208, 208 Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","4,6 tỷ",Vinhomes Central Park,70 m²,Đã bàn giao,"65,71 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Số 9, Nguyễn Khoái, Phường 1, Quận 4, Tp Hồ Chí Minh","1,65 tỷ",Galaxy 9,1 m²,Đã bàn giao,"1,65 tỷ/m²",2 phòng,2 phòng,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,56 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"38,21 triệu/m²",2 phòng,2 phòng,,,Hoàn thiện cơ bản,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,489 tỷ",Saigon Riverside Complex Q7,69 m²,Chưa bàn giao,"36,07 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh","1,36 tỷ",Summer Square,1 m²,Đã bàn giao,"1,36 tỷ/m²",2 phòng,2 phòng,8,Đã có sổ,,,,
"Số 12, Số 12 Số 12 Tôn Đản, Phường 13, Quận 4, Hồ Chí Minh, Phường 13, Quận 4, Tp Hồ Chí Minh","1,58 tỷ",Khu căn hộ Contrexim - Copac Square,62 m²,Chưa bàn giao,"25,48 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"130-132, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","8,5 tỷ",Orchard Park View,106 m²,Đã bàn giao,"80,19 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,,,,
"49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh","4,1 tỷ",Diamond Lotus Riverside,73 m²,Đã bàn giao,"56,16 triệu/m²",2 phòng,2 phòng,,,,,,
"146, Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","8,9 tỷ",Kingston Residence,115 m²,Đã bàn giao,"77,39 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Sunview Town,61 m²,Đã bàn giao,"27,87 triệu/m²",2 phòng,2 phòng,,,,,,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","1,68 tỷ",Topaz Elite,1 m²,Chưa bàn giao,"1,68 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
"Đường Võ Chí Công, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,4 tỷ",Safira Khang Điền (Sapphire Khang Điền),91 m²,Chưa bàn giao,"37,36 triệu/m²",3 phòng,2 phòng,14,Đã có sổ,Nội thất cao cấp,Đông Nam,Đông Bắc,
"Bình An, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15 tỷ,The River Thủ Thiêm,94 m²,Đã bàn giao,"159,57 triệu/m²",2 phòng,2 phòng,16,,,,,
"An Phú Tây, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","1,35 tỷ",HQC An Phú Tây,68 m²,Đã bàn giao,"19,85 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","7,9 tỷ",River Gate,115 m²,Đã bàn giao,"68,7 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,Tây Nam,Đông Bắc,
"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","3,25 tỷ",Moonlight Park View,76 m²,Đã bàn giao,"42,76 triệu/m²",2 phòng,2 phòng,16,Đã có sổ,Hoàn thiện cơ bản,Bắc,Nam,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2 tỷ,Saigon Riverside Complex Q7,65 m²,Đã bàn giao,"30,77 triệu/m²",2 phòng,2 phòng,,,,,,
"241/42, Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh","1,58 tỷ",Starlight Riverside,68 m²,Đã bàn giao,"23,24 triệu/m²",2 phòng,2 phòng,12,Đã có sổ,Nội thất cao cấp,,,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,89 tỷ",Vinhomes Grand Park,81.5 m²,Đã bàn giao,"35,46 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,Đông Bắc,Tây Nam,Căn góc
"89, Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","5,5 tỷ",Sky 89 An Gia,114 m²,Đã bàn giao,"48,25 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,Đông,Tây,Căn góc
"nguyễn xiễn, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","2,729 tỷ",Vinhomes Central Park,48 m²,Chưa bàn giao,"56,85 triệu/m²",1 phòng,,,,,,,
"239 – 241 – 278, Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","2,78 tỷ",Căn hộ RichStar,63 m²,Đã bàn giao,"44,13 triệu/m²",2 phòng,,,,Nội thất đầy đủ,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,55 tỷ",Saigon Riverside Complex Q7,66.66 m²,Đã bàn giao,"38,25 triệu/m²",2 phòng,2 phòng,,,,,,
"151, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh","2,35 tỷ",River Gate,32 m²,Đã bàn giao,"73,44 triệu/m²",1 phòng,,,Đang chờ sổ,Nội thất cao cấp,Đông Bắc,Tây Nam,
"Đường Mai Chí Thọ, phường Thủ Thiêm, quận 2, Tp.HCM, Phường Thủ Thiêm (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",7 tỷ,Empire City Thủ Thiêm,64 m²,Đã bàn giao,"109,38 triệu/m²",1 phòng,1 phòng,2,Đang chờ sổ,Nội thất cao cấp,,,
"Đồng Văn Cống, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,9 tỷ",Citi Home,73 m²,Đã bàn giao,"26,03 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,Căn góc
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Phường 16, Quận 8, Tp Hồ Chí Minh","1,95 tỷ",City Gate Towers,73 m²,Đã bàn giao,"26,71 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,85 tỷ",Saigon Riverside Complex Q7,69 m²,Đã bàn giao,"26,81 triệu/m²",1 phòng,,,,,,,
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","3,15 tỷ",The Pegasuite,68 m²,Đã bàn giao,"46,32 triệu/m²",2 phòng,2 phòng,32,Đã có sổ,Nội thất cao cấp,Tây,Đông,
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,53 tỷ",Saigon Riverside Complex Q7,66 m²,Đã bàn giao,"38,33 triệu/m²",2 phòng,2 phòng,,,,,,
"90A, 90A 90A Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh, Phường 14, Quận 10, Tp Hồ Chí Minh","5,8 tỷ",Xi Grand Court,90 m²,Đã bàn giao,"64,44 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"104 Số 104 Phổ Quang, Phường 2, Quận Tân Bình, TP Hồ Chí Minh, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","1,83 tỷ",The Botanica,57 m²,Đã bàn giao,"32,11 triệu/m²",2 phòng,1 phòng,,Đã có sổ,,,,
"772, Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","1,58 tỷ",Jamona City,50 m²,Chưa bàn giao,"31,6 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,77 tỷ",Orchid Park,75 m²,Đã bàn giao,"23,6 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","1,92 tỷ",Khu đô thị mới 13B Conic - Nam Sài Gòn,70 m²,Chưa bàn giao,"27,43 triệu/m²",2 phòng,,,,,,,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","3,18 tỷ",Phú Hoàng Anh,129 m²,Chưa bàn giao,"24,65 triệu/m²",3 phòng,2 phòng,16,,Nội thất cao cấp,Đông Nam,,Căn góc
"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,42 tỷ",Opal Riverside,71 m²,Đã bàn giao,"48,17 triệu/m²",2 phòng,2 phòng,,,,,,
"11, Phường 11, Quận 6, Tp Hồ Chí Minh","3,88 tỷ",Him Lam Chợ Lớn,102 m²,Đã bàn giao,"38,04 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,1 tỷ",Lavita Charm,51 m²,Đã bàn giao,"41,18 triệu/m²",1 phòng,1 phòng,,,,,,
"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","9,5 tỷ",Vinhomes Central Park,115 m²,Đã bàn giao,"82,61 triệu/m²",3 phòng,2 phòng,,,,,,
"Đường số 1, phường Trường Thọ, quận Thủ Đức, Tp.HCM, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,85 tỷ",Lavita Charm,67 m²,Đã bàn giao,"42,54 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","2,5 tỷ",Richmond City,66 m²,Đã bàn giao,"37,88 triệu/m²",2 phòng,,,,,,,
"Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,8 tỷ",De Capella,87 m²,Chưa bàn giao,"66,67 triệu/m²",2 phòng,2 phòng,6,,Nội thất cao cấp,Tây Bắc,Đông Nam,
"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,48 tỷ",Chung cư Lê Thành,60 m²,Đã bàn giao,"24,67 triệu/m²",2 phòng,,,Đã có sổ,,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,58 tỷ",The Sun Avenue,88 m²,Đã bàn giao,"52,05 triệu/m²",2 phòng,2 phòng,3,Đang chờ sổ,Nội thất cao cấp,Tây Nam,Đông Bắc,
"Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","1,68 tỷ",Dream Home Palace,51.75 m²,Đã bàn giao,"32,46 triệu/m²",2 phòng,1 phòng,17,,,Đông Nam,Tây Bắc,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,15 tỷ",Mizuki Park,74 m²,Đã bàn giao,"42,57 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,Căn góc
"Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",3 tỷ,Q7 Boulevard,70 m²,Đã bàn giao,"42,86 triệu/m²",2 phòng,,,,,,,
"900, Quốc Lộ 1A, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","1,26 tỷ",Khu căn hộ Tân Mai,50 m²,Đã bàn giao,"25,2 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","2,5 tỷ",EHome 5,67 m²,Chưa bàn giao,"37,31 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 685, Âu Cơ, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","2,9 tỷ",Oriental Plaza (Âu Cơ Tower),80 m²,Đã bàn giao,"36,25 triệu/m²",2 phòng,2 phòng,,Giấy tờ khác,,,,
"Trường Sa, Phường 12, Quận 3, Tp Hồ Chí Minh","1,705 tỷ",Screc Tower,40 m²,Đã bàn giao,"42,63 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",10 tỷ,Vinhomes Central Park,106 m²,Đã bàn giao,"94,34 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","4,3 tỷ",Mizuki Park,111 m²,Chưa bàn giao,"38,74 triệu/m²",3 phòng,3 phòng,,,,,,Căn góc
"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, TP Hồ Chí Minh, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,15 tỷ",Stown Thủ Đức,63.2 m²,Chưa bàn giao,"34,02 triệu/m²",2 phòng,2 phòng,11,Đã có sổ,Nội thất đầy đủ,Nam,Bắc,
"Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,15 tỷ",Homyland 3 (Homyland Riverside),81 m²,Đã bàn giao,"38,89 triệu/m²",2 phòng,2 phòng,,,,,,
"số 1A, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,5 tỷ",Tara Residence,50 m²,Đã bàn giao,30 triệu/m²,1 phòng,1 phòng,,,,,,
"30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",4S Riverside Linh Đông,68 m²,Đã bàn giao,"26,47 triệu/m²",2 phòng,,,,,,,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,35 tỷ",Topaz Elite,60 m²,Chưa bàn giao,"39,17 triệu/m²",2 phòng,2 phòng,18,Giấy tờ khác,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,6 tỷ",Dream Home Riverside,62 m²,Chưa bàn giao,"25,81 triệu/m²",2 phòng,2 phòng,,,,,,
"số 262/20, Lạc Long Quân, Phường 10, Quận 11, Tp Hồ Chí Minh","1,6 tỷ",Hoa Sen - Lotus Apartment,65 m²,Đã bàn giao,"24,62 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"33, 33 33 Trương Công Định, Phường 14, Tân Bình, Hồ Chí Minh, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","3,76 tỷ",The Harmona,81 m²,Chưa bàn giao,"46,42 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Tây Nam,Đông Bắc,Căn góc
"Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","1,86 tỷ",Q7 Boulevard,50 m²,Đã bàn giao,"37,2 triệu/m²",1 phòng,1 phòng,,,,,,
"15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,48 tỷ",Orchid Park,49 m²,Đã bàn giao,"30,2 triệu/m²",1 phòng,1 phòng,,Đã có sổ,,,,
"Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,45 tỷ",EHome 3,50 m²,Chưa bàn giao,29 triệu/m²,2 phòng,1 phòng,,Đã có sổ,,,,
"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","4,18 tỷ",Eco Green Sài Gòn,82 m²,Đã bàn giao,"50,98 triệu/m²",3 phòng,2 phòng,,,,,,
"819, Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","1,87 tỷ",Saigon Homes Bình Tân,70 m²,Đã bàn giao,"26,71 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,Tây Nam,Đông Bắc,
"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","5,1 tỷ",Kingdom 101,73 m²,Đã bàn giao,"69,86 triệu/m²",2 phòng,2 phòng,,,,,,
"số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","9,1 tỷ",Celadon City,121 m²,Chưa bàn giao,"75,21 triệu/m²",3 phòng,3 phòng,10,Giấy tờ khác,Hoàn thiện cơ bản,Đông Bắc,Tây Nam,Căn góc
"Đồng Văn Cống, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,45 tỷ",Vista Verde,51 m²,Đã bàn giao,"67,65 triệu/m²",1 phòng,1 phòng,12,,,,,
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","2,375 tỷ",Diamond Riverside (City Gate Towers 2),73 m²,Đã bàn giao,"32,53 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,Đông Nam,Căn góc
"số 32, số 32 đường Thủy Lợi, Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,4 tỷ",Him Lam Phú An,69 m²,Đã bàn giao,"34,78 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,Căn góc
"113/89, 113/89 113/89 An Dương Vương, P.An Lạc, Q.Bình Tân, TP. Hồ Chí Minh., Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","3,399 tỷ",Chung cư Lê Thành,119 m²,Đã bàn giao,"28,56 triệu/m²",3 phòng,2 phòng,9,Đã có sổ,Nội thất cao cấp,Bắc,Nam,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,6 tỷ",The Sun Avenue,35 m²,Đã bàn giao,"45,71 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,Đông Nam,Tây Bắc,
