DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","8,7 tỷ",Vinhomes Central Park,115 m²,Đã bàn giao,"75,65 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Cây Keo, Phường Tam Phú (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,51 tỷ",Đạt Gia Residence Thủ Đức,60 m²,Đã bàn giao,"25,17 triệu/m²",2 phòng,2 phòng,,,,,,
"334, Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh","4,9 tỷ",Kingdom 101,79 m²,Chưa bàn giao,"62,03 triệu/m²",2 phòng,2 phòng,,,,,,
"Song Hành, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2 tỷ,Jamila Khang Điền,85 m²,Đã bàn giao,"23,53 triệu/m²",2 phòng,2 phòng,10,Đã có sổ,Nội thất đầy đủ,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,2 tỷ",Ricca,73 m²,Đã bàn giao,"30,14 triệu/m²",2 phòng,2 phòng,,,,,,
"Số 636 A, Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","3,6 tỷ",Soho Premier,96 m²,Đã bàn giao,"37,5 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","6,2 tỷ",Vinhomes Central Park,85 m²,Đã bàn giao,"72,94 triệu/m²",2 phòng,2 phòng,,,,,,
"Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh","1,5 tỷ",NBB Garden 3_City Gate 3,53 m²,Chưa bàn giao,"28,3 triệu/m²",2 phòng,,,,,,,
"239 – 241 – 278, Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","3,2 tỷ",Căn hộ RichStar,65 m²,Đã bàn giao,"49,23 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Văn Hưởng, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3 tỷ,Thủ Thiêm Sky,61 m²,Đã bàn giao,"49,18 triệu/m²",2 phòng,,12,Đã có sổ,,,,
"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","3,12 tỷ",Mizuki Park,78 m²,Đã bàn giao,40 triệu/m²,2 phòng,2 phòng,,,,,,Căn góc
"290 Số 290 Đường An Dương Vương, Phường 4, Quận 5, Thành phố Hồ Chí Minh, Phường 4, Quận 5, Tp Hồ Chí Minh","2,25 tỷ",The Everrich Infinity,80 m²,Đã bàn giao,"28,13 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Đường Nguyễn Văn Linh, xã Bình Hưng, huyện Bình Chánh, Tp.HCM, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","4,6 tỷ",Mizuki Park,86 m²,Chưa bàn giao,"53,49 triệu/m²",2 phòng,2 phòng,,,,,,
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","5,85 tỷ",Celadon City,112 m²,Chưa bàn giao,"52,23 triệu/m²",2 phòng,2 phòng,,Giấy tờ khác,,Tây Nam,Đông Bắc,
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","3,85 tỷ",Sunrise City,76 m²,Đã bàn giao,"50,66 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ,Nam,Bắc,Căn góc
"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",4 tỷ,Akari City,100 m²,Đã bàn giao,40 triệu/m²,3 phòng,2 phòng,21,Giấy tờ khác,Hoàn thiện cơ bản,Bắc,Tây,Căn góc
"346, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh",4 tỷ,The Gold View,80 m²,Chưa bàn giao,50 triệu/m²,2 phòng,2 phòng,,Đang chờ sổ,,Tây Nam,Đông Bắc,
"Số 1472, Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh","1,85 tỷ",Viva Riverside,83 m²,Đã bàn giao,"22,29 triệu/m²",2 phòng,,,,,,,
"Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","3,6 tỷ",Chung cư Mỹ Đức,84 m²,Chưa bàn giao,"42,86 triệu/m²",2 phòng,2 phòng,,,,,,
"Khu đô thị Cityland Park Hills - Số 18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",5 tỷ,Căn hộ Cityland Parkhill Gò Vấp,86.1 m²,Đã bàn giao,"58,07 triệu/m²",3 phòng,,,,,,,Căn góc
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","1,85 tỷ",The Park Residence,62 m²,Đã bàn giao,"29,84 triệu/m²",2 phòng,1 phòng,12,,,,,
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","1,9 tỷ",Green Town Bình Tân,63 m²,Đã bàn giao,"30,16 triệu/m²",2 phòng,2 phòng,,Giấy tờ khác,Hoàn thiện cơ bản,Tây,Đông,
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,65 tỷ",The Eastern,106 m²,Đã bàn giao,25 triệu/m²,3 phòng,2 phòng,,Đã có sổ,,,,
